image,corner_count
RC04847/page_2/c156.png,21
RC04847/page_2/c108.png,3
RC04847/page_2/c208.png,17
RC04847/page_2/c151.png,20
RC04847/page_2/c150.png,34
RC04847/page_2/c178.png,49
RC04847/page_2/c199.png,3
RC04847/page_2/c160.png,0
RC04847/page_2/c221.png,5
RC04847/page_2/c182.png,24
RC04847/page_2/c155.png,4
RC04847/page_2/c135.png,19
RC04847/page_2/c252.png,5
RC04847/page_2/c137.png,18
RC04847/page_2/c106.png,2
RC04847/page_2/c172.png,14
RC04847/page_2/c100.png,43
RC04847/page_2/c190.png,18
RC04847/page_2/c241.png,15
RC04847/page_2/c104.png,5
RC04847/page_2/c163.png,23
RC04847/page_2/c97.png,24
RC04847/page_2/c117.png,18
RC04847/page_2/c181.png,41
RC04847/page_2/c103.png,9
RC04847/page_2/c148.png,39
RC04847/page_2/c235.png,3
RC04847/page_2/c222.png,5
RC04847/page_2/c125.png,15
RC04847/page_2/c201.png,14
RC04847/page_2/c205.png,7
RC04847/page_2/c236.png,8
RC04847/page_2/c98.png,27
RC04847/page_2/c230.png,12
RC04847/page_2/c234.png,9
RC04847/page_2/c162.png,18
RC04847/page_2/c193.png,23
RC04847/page_2/c131.png,22
RC04847/page_2/c239.png,33
RC04847/page_2/c158.png,8
